,title,room,area,floor,renovation,material,price,address,lift,security,internet,playground,sewerage,bathroom,video_monitor,parking_space,air_condition,furniture
0,4-комнатная квартира на продажу,No room,90 м²,No floor,Евроремонт,Другое,145 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Мовароуннахр, улица Саида Барака",0,0,1,0,0,1,1,1,1,1
1,3-комнатная квартира на продажу,No room,74 м²,No floor,Евроремонт,Монолитный,122 000 у.е.,"город Ташкент, Яшнободский район, жилой комплекс Паркент Плаза, 7-й Паркентский проезд",1,1,1,1,1,1,1,1,1,1
2,3-комнатная квартира на продажу,No room,,No floor,,,58 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Янги Сергели",0,0,0,0,0,0,0,0,0,0
3,4-комнатная квартира на продажу,No room,,No floor,,,138 000 у.е.,"город Ташкент, Юнусабадский район, массив Кашгар",0,0,0,0,0,0,0,0,0,0
4,2-комнатная квартира на продажу,No room,,No floor,,,62 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шахриабад",0,0,0,0,0,0,0,0,0,0
5,1-комнатная квартира на продажу,No room,,No floor,,,36 500 у.е.,"город Ташкент, Мирзо-Улугбекский район, Assalom Bog'lar TJM",0,0,0,0,0,0,0,0,0,0
6,3-комнатная квартира на продажу,No room,,No floor,,,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",0,0,1,1,1,0,0,1,1,1
7,1-комнатная квартира на продажу,No room,,No floor,,,26 500 у.е.,"город Ташкент, Мирзо-Улугбекский район, 4-й квартал",0,0,0,0,0,0,0,0,0,0
8,1-комнатная квартира на продажу,No room,,No floor,,,37 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Бек-Тупи, улица Сугалли-ота",0,0,0,0,0,0,0,0,0,0
9,3-комнатная квартира на продажу,No room,,No floor,,,48 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Абад, улица Зарбулак",0,0,0,0,0,0,0,0,0,0
10,3-комнатная квартира на продажу,No room,,No floor,,,47 999 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Абад, улица Зарбулак",0,0,0,0,0,0,0,0,0,0
11,2-комнатная квартира на продажу,No room,,No floor,,,89 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Кашгар, улица Буюк Турон",0,0,0,0,0,0,0,0,0,0
12,2-комнатная квартира на продажу,No room,,No floor,,,80 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",1,0,1,1,1,1,0,1,1,1
13,1-комнатная квартира на продажу,No room,,No floor,,,30 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",0,0,0,0,0,0,0,0,0,0
